#@ TextLoader{
#@   header+
#@   sep=semicolon
#@   col=Port_Name:TX:0
#@   col=State:TX:1
#@   col=Port_Code:TX:2
#@   col=Border:TX:3
#@   col=Longitud:TX:4
#@   col=Latitud:TX:5
#@   col=Mes:TX:6
#@   col=Year:TX:7
#@   col=Measure:TX:8
#@   col=Label:R4:9
#@ }
Port_Name;State;Port_Code;Border;Longitud;Latitud;Mes;Year;Measure;Label
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Train Passengers;750
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;1997;Rail Containers Empty;1352
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2002;Trucks;58450
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2020;Bus Passengers;2504
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Bus Passengers;39103
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2010;Bus Passengers;27583
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2006;Truck Containers Loaded;43127
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1996;Truck Containers Loaded;24189
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2003;Pedestrians;881717
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Buses;1163
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2007;Personal Vehicle Passengers;2221380
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Bus Passengers;38979
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2009;Truck Containers Empty;28883
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2015;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Truck Containers Empty;22803
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Trucks;65348
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;1997;Truck Containers Empty;17213
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Truck Containers Loaded;31801
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2013;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;1997;Trucks;44149
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Train Passengers;575
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Bus Passengers;9763
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Pedestrians;339155
